code,username,role,password,color
0,thuan2172001,0,123456,#000000
2,customer2,1,123456,#000002
1,ess_demo,3,123456,#4E00E1
6,ess_project,1,123456,#759834
3,phuc,0,123456,#74C8CB
13,ess_hoadinh,2,123456,#DE9742
25,i2g_quang,2,123456,#9438B0
24,hoang,0,123456,#537A5B
26,i2g_hoang,0,123456,#D55BA9
22,admin_thuypham,0,123456,#ACABE8
2,i2g_administrator,0,123456,#A1B7D7
4,ess_duyenngo,0,123456,#086E95
23,admin_trangtran,0,123456,#58EC41
9,revotech_admin,1,123456,#7806E7
12,tkvmai,0,123456,#08DE1E
37,cds_adam,1,123456,#D6DC44
8,ess_thuypham,3,123456,#4A842A
125,admin_longhoang,0,123456,#88116B
48,mc_admin,0,123456,#87B3DD
57,mc_test,2,123456,#B8E38C
85,revotech_quota,2,123456,#18A97A
86,rt_admin,1,123456,#10605C
115,blackriver_bingjian,2,123456,#D8EC1A
83,ess_duyenn,3,123456,#29BC43
29,i2g_storage_admin,3,123456,#28367A
